Apiguid,ApiTitulo,ApiDescripcion,ApiCategoria,ApiTags,ApifechaCreacion,Apienlace,TOTAL_RECORDS,NRO_FILA,REGION,PROVINCIA,CANTIDAD,PORCENTAJE,ORDINARIA_CANTIDAD,ORDINARIA_PORCENTAJE,FFAA_CANTIDAD,FFAA_PORCENTAJE,ALBERGUE_CANTIDAD,ALBERGUE_PORCENTAJE,REPARED_CANTIDAD,REPARED_PORCENTAJE,VRAEM_CANTIDAD,VRAEM_PORCENTAJE,HUALLAGA_CANTIDAD,HUALLAGA_PORCENTAJE,EIB_CANTIDAD,EIB_PORCENTAJE,CNA_CANTIDAD,CNA_PORCENTAJE,FECHA_HORA,,,,,,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,159,LORETO,UCAYALI,117,0,45,157,0,8,8,0,48,0,0,0,0,0,0,0,0,5,1,2,5,0,4,21/09/2016 00:00,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,160,LORETO,DATEM DEL MARAÑON,74,0,28,60,0,31,2,0,12,0,0,0,0,0,0,0,0,1,0,24,54,4,29,21/09/2016 00:00,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,161,LORETO,PUTUMAYO,33,0,13,23,0,12,0,0,0,0,0,0,0,0,0,0,4,0,96,47,3,73,21/09/2016 00:00,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,162,MADRE DE DIOS,TOTAL,93,0,35,10,0,05,1,0,06,0,0,0,0,0,0,0,0,3,0,72,19,1,51,21/09/2016 00:00,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,163,MADRE DE DIOS,TAMBOPATA,66,0,25,63,0,32,14,0,84,1,0,25,0,0,0,0,0,0,0,0,15,1,19,21/09/2016 00:00,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,164,MADRE DE DIOS,MANU,19,0,07,42,0,22,13,0,78,1,0,25,0,0,0,0,0,0,0,0,10,0,79,21/09/2016 00:00,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,165,MADRE DE DIOS,TAHUAMANU,8,0,03,14,0,07,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,21/09/2016 00:00,,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,166,MOQUEGUA,TOTAL,118,0,45,7,0,04,1,0,06,0,0,0,0,0,0,0,0,0,0,0,0,21/09/2016 00:00,,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,167,MOQUEGUA,MARISCAL NIETO,62,0,24,92,0,47,25,1,5,1,0,25,0,0,0,0,0,0,0,0,0,0,21/09/2016 00:00,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,168,MOQUEGUA,GENERAL SANCHEZ CERRO,34,0,13,49,0,25,13,0,78,0,0,0,0,0,0,0,0,0,0,0,0,21/09/2016 00:00,,,,,
